"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.03.2020","258,44","246,70","258,44","246,50","63,14M","5,26%"
"25.03.2020","245,52","250,80","257,94","244,33","75,90M","-0,55%"
"24.03.2020","246,88","237,00","246,88","234,42","71,88M","10,03%"
"23.03.2020","224,37","228,08","228,50","212,61","84,19M","-2,12%"
"20.03.2020","229,24","247,18","251,83","228,00","100,42M","-6,35%"
"19.03.2020","244,78","247,02","252,59","242,66","67,96M","-0,77%"
"18.03.2020","246,67","240,19","249,91","237,12","75,06M","-2,45%"
"17.03.2020","252,86","247,51","257,61","238,40","81,01M","4,40%"
"16.03.2020","242,21","241,95","259,08","240,00","80,61M","-12,86%"
"13.03.2020","277,97","264,89","279,92","252,95","92,68M","11,98%"
"12.03.2020","248,23","255,94","270,00","248,00","104,62M","-9,88%"
"11.03.2020","275,43","277,39","281,22","271,86","64,09M","-3,47%"
"10.03.2020","285,34","277,14","286,44","269,37","71,32M","7,20%"
"09.03.2020","266,17","263,75","278,09","263,00","71,69M","-7,91%"
"06.03.2020","289,03","282,00","290,82","281,23","56,54M","-1,33%"
"05.03.2020","292,92","295,52","299,55","291,41","46,89M","-3,24%"
"04.03.2020","302,74","296,44","303,40","293,13","54,79M","4,64%"
"03.03.2020","289,32","303,67","304,00","285,80","79,87M","-3,18%"
"02.03.2020","298,81","282,28","301,44","277,72","85,35M","9,31%"
"28.02.2020","273,36","257,26","278,41","256,37","106,72M","-0,06%"
"27.02.2020","273,52","281,10","286,00","272,96","80,15M","-6,54%"
"26.02.2020","292,65","286,53","297,88","286,50","49,68M","1,59%"
"25.02.2020","288,08","300,95","302,53","286,13","57,67M","-3,39%"
"24.02.2020","298,18","297,26","304,18","289,23","55,55M","-4,75%"
"21.02.2020","313,05","318,62","320,45","310,50","32,43M","-2,26%"
"20.02.2020","320,30","322,63","324,65","318,21","25,14M","-1,03%"
"19.02.2020","323,62","320,00","324,57","320,00","23,50M","1,45%"
"18.02.2020","319,00","315,36","319,75","314,61","38,19M","-1,83%"
"14.02.2020","324,95","324,74","325,98","322,85","20,03M","0,02%"
"13.02.2020","324,87","324,19","326,22","323,35","23,69M","-0,71%"
"12.02.2020","327,20","321,47","327,22","321,47","28,43M","2,37%"
"11.02.2020","319,61","323,60","323,90","318,71","23,58M","-0,60%"
"10.02.2020","321,55","314,18","321,55","313,85","27,34M","0,47%"
"07.02.2020","320,03","322,37","323,40","318,00","29,42M","-1,59%"
"06.02.2020","325,21","322,57","325,22","320,26","26,36M","1,17%"
"05.02.2020","321,45","323,52","324,76","318,95","29,71M","0,82%"
"04.02.2020","318,85","315,31","319,64","313,63","34,15M","3,30%"
"03.02.2020","308,66","304,30","313,49","302,22","43,50M","-0,27%"
"31.01.2020","309,51","320,93","322,68","308,29","49,90M","-4,43%"
"30.01.2020","323,87","320,54","324,09","318,75","31,69M","-0,14%"
"29.01.2020","324,34","324,45","327,85","321,38","54,15M","2,09%"
"28.01.2020","317,69","312,60","318,40","312,19","40,56M","2,83%"
